pop_name,ou_mean_min,ou_mean_max
NGF1,-0.005,0.01
NGF2,-0.005,0.01
NGF3,-0.005,0.01
NGF4,-0.005,0.01
NGF5A,-0.005,0.01
NGF5B,-0.005,0.01
NGF6,-0.005,0.01
SOM2,-0.004,0
SOM3,-0.004,0
SOM4,-0.004,0.01
SOM5A,-0.004,0.002
SOM5B,-0.004,0.002
SOM6,-0.003,0.003
PV2,0,0.01
PV3,0,0.01
PV4,0.004,0.009
PV5B,0.005,0.013
PV5A,0.005,0.013
PV6,0.004,0.009
VIP2,-0.002,0.005
VIP3,-0.002,0.005
VIP4,-0.001,0.007
VIP5A,-0.001,0.007
VIP5B,-0.001,0.007
VIP6,-0.011,0.009
IT2,0.005,0.025
IT3,0.005,0.025
IT6,0,0.02
ITP4,0,0.025
ITS4,-0.0025,0.004
IT5A,0.003,0.02
IT5B,0,0.03
PT5B,0.015,0.03
CT5A,0.005,0.025
CT5B,0.005,0.025
CT6,0.005,0.025
TC,0.002,0.006
TCM,0.002,0.006
HTC,0.002,0.006
IRE,-0.005,-0.0005
IREM,-0.01,0.005
TI,0,0.007
TIM,0,0.007
